E_code,Description,SH_code,KPI_Hint
E4.1.5,E4.1.5: Paydaş ilişkileri yönetimi (PRM/CRM) için dijital araçlar kullanarak etkileşimleri analiz etme ve özel iletişim geliştirme (Ana Sorumlu: İMİ-İLT ÇG),SH4.1,SH4.1; DIGITAL; RESILIENCE
E4.2.6,"E4.2.6: MF web sitelerini SEO uyumlu, kullanıcı dostu, güncel içeriklerle zenginleştirerek dijital görünürlüğü artırma (Ana Sorumlu: İMİ-İLT ÇG)",SH4.2,SH4.2; DIGITAL; RESILIENCE
E4.3.2,"E4.3.2: KOBİ geri bildirimleri için çok kanallı (web, e-posta, çağrı merkezi vb.) bir geri bildirim yönetim sistemi kurma (Ana Sorumlu: PAZ ÇG)",SH4.3,SH4.3; RESILIENCE
E4.3.5,"E4.3.5: KOBİ'lerle uzun vadeli ilişkiler kurmak, ihtiyaçlarını proaktif anlamak için CRM uygulamalarını güçlendirme (Ana Sorumlu: PAZ ÇG)",SH4.3,SH4.3; DIGITAL; RESILIENCE
E4.3.6,E4.3.6: Tekrar hizmet alan/farklı hizmet için başvuran KOBİ'lere yönelik özel teşvikler/sadakat programları geliştirme (Ana Sorumlu: PAZ ÇG),SH4.3,SH4.3; RESILIENCE
E4.4.2,E4.4.2: MF stratejileri/hedefleri/performansı hakkında çalışanları düzenli bilgilendirme; süreçlere katılımını teşvik etme (Ana Sorumlu: İMİ-İLT ÇG),SH4.4,SH4.4; RESILIENCE
E4.5.5,"E4.5.5: Yürütülen KSS projelerinin toplumsal etkisini ölçme, değerlendirme ve sonuçlarını paydaşlarla paylaşma (Ana Sorumlu: İMİ-İLT ÇG)",SH4.5,SH4.5; RESILIENCE
E4.8.6,E4.8.6: Yabancı heyetlerin/uzmanların Türkiye MF'lerini ziyaretlerini teşvik edecek programlar/tanıtım materyalleri geliştirme (Ana Sorumlu: İMİ-İLT ÇG),SH4.8,SH4.8; RESILIENCE
E4.1.1,E4.1.1: Tüm paydaş gruplarını dikkate alan bütüncül paydaş iletişim/etkileşim stratejisi geliştirme ve uygulama,SH4.1,SH4.1; RESILIENCE
E4.1.3,"E4.1.3: Farklı paydaş gruplarıyla düzenli odak grup görüşmeleri, çalıştaylar, anketler yaparak geri bildirimlerini toplama",SH4.1,SH4.1; RESILIENCE
E4.2.1,E4.2.1: Türkiye Model Fabrikaları çatı markası altında ortak kurumsal kimlik ve marka yönetimi stratejisi uygulama,SH4.2,SH4.2; RESILIENCE
E4.2.2,E4.2.2: Sosyal medya/dijital platformlarda marka bilinirliği/olumlu algı için hedef kitle odaklı kampanyalar düzenleme,SH4.2,SH4.2; DIGITAL; RESILIENCE
E4.2.3,E4.2.3: Yerel/ulusal/uluslararası medya ile proaktif ilişkiler geliştirerek MF başarı hikayelerini duyurma,SH4.2,SH4.2; RESILIENCE
E4.2.4,"E4.2.4: Ulusal/uluslararası sanayi fuarlarına, zirvelere, konferanslara aktif katılım sağlama (Pazarlama ÇG ile ortak ana sorumluluk)",SH4.2,SH4.2; RESILIENCE
E4.2.5,E4.2.5: MF hizmetlerini/başarılarını tanıtmak için kamu/özel sektör/yatırımcı/akademisyenlere yönelik bilgilendirme toplantıları (Pazarlama ÇG ile ortak ana sorumluluk),SH4.2,SH4.2; RESILIENCE
E4.6.3,E4.6.3: Bu platformlarda ödül alan KOBİ'lerin başarı hikayelerini MF iletişim kanallarında duyurma ve rol model olmalarını sağlama,SH4.6,SH4.6; DIGITAL; RESILIENCE
E4.8.7,E4.8.7: Türkiye Model Fabrikaları markasının uluslararası düzeyde konumlandırılması için iletişim/markalaşma stratejisi,SH4.8,SH4.8; RESILIENCE
E2.1.2,E2.1.2: Özel sektör/kamu kuruluşlarıyla uzun vadeli iş birliği projeleri ve çerçeve anlaşmaları başlatma (Ana Sorumlu: PAZ ÇG),SH2.1,SH2.1; LEAN
E2.3.1,E2.3.1: Hedef KOBİ segmentlerine yönelik proaktif satış ve pazarlama stratejileri geliştirme ve uygulama (Ana Sorumlu: PAZ ÇG),SH2.3,SH2.3; LEAN
E2.3.8,E2.3.8: MF hizmetlerinden ilk kez yararlanacak KOBİ'ler için özel tanıtım programları/başlangıç paketleri sunma (Ana Sorumlu: PAZ ÇG),SH2.3,SH2.3; LEAN
E4.6.1,E4.6.1: Verimlilik Proje Ödülleri vb. platformlar hakkında KOBİ'lere düzenli bilgilendirme etkinlikleri düzenleme (Ana Sorumlu: PAZ ÇG),SH4.6,SH4.6; LEAN|DIGITAL; RESILIENCE
E1.1.5,E1.1.5: MF Tanıtım Günleri düzenleme ve katılımı artırıcı teşvikler geliştirme,SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E2.3.5,"E2.3.5: KOBİ'lere özel, uzun vadeli dönüşüm ortaklığı paketleri sunarak sözleşme değerini artırma",SH2.3,SH2.3; LEAN
E2.3.6,E2.3.6: Öncelikli sektörlerde ve bölgelerde odaklı satış ve tanıtım faaliyetleri yürütme,SH2.3,SH2.3; LEAN
E4.4.4,E4.4.4: MF personelinin ulusal/uluslararası mesleki gelişim faaliyetlerine katılımını teşvik etme/destekleme - Öncelik: Orta - Faz: Sürekli,SH4.4,SH4.4; RESILIENCE
E4.4.5,"E4.4.5: Çalışanların iş-yaşam dengesini destekleyici, sağlıklı, güvenli çalışma ortamı sağlama - Öncelik: Orta - Faz: Faz 1'de başlar, Sürekli",SH4.4,SH4.4; RESILIENCE
E4.4.6,"E4.4.6: Başarılı performansı/katkıları takdir eden adil, şeffaf tanıma ve ödüllendirme sistemi kurma - Öncelik: Orta - Faz: Faz 1 (SH3.2.3 ile koordineli)",SH4.4,SH4.4; RESILIENCE
